,prcp,tsun,share_sad_songs_matched,avg_valence,avg_valence,share_sad_songs_matched
prcp,1.0,,0.2500207314263428,-0.24651782742590336,-0.24651782742590336,0.2500207314263428
tsun,,,,,,
share_sad_songs_matched,0.2500207314263428,,1.0,-0.9011384397836101,-0.9011384397836101,1.0
avg_valence,-0.24651782742590336,,-0.9011384397836101,1.0,1.0,-0.90113843978361
avg_valence,-0.24651782742590336,,-0.9011384397836101,1.0,1.0,-0.90113843978361
share_sad_songs_matched,0.2500207314263428,,1.0,-0.90113843978361,-0.90113843978361,1.0
