date,top200_rows,unique_tracks,tracks_with_valence,valence_coverage,avg_valence,sad_songs_count,share_sad_songs
2017-09-08,200,200,200,1.0,0.521382,42,0.21
2017-09-09,200,200,200,1.0,0.5241155,42,0.21
2017-09-10,200,200,197,0.985,0.487882233502538,57,0.285
2017-09-11,200,200,199,0.995,0.48126582914572863,62,0.31
2017-09-12,200,200,193,0.965,0.5000409326424871,57,0.285
2017-10-01,200,200,200,1.0,0.45840650000000005,70,0.35
2017-10-02,200,200,200,1.0,0.4689125,63,0.315
2017-10-03,200,200,200,1.0,0.4759685,64,0.32
2017-10-04,200,200,200,1.0,0.49107750000000006,55,0.275
2017-10-05,200,200,195,0.975,0.5111671794871795,44,0.22
2017-10-06,200,200,200,1.0,0.522157,40,0.2
2017-10-07,200,200,200,1.0,0.5285125,37,0.185
2017-10-08,200,200,200,1.0,0.5176120000000001,47,0.235
2017-10-09,200,200,200,1.0,0.5202805,43,0.215
2017-10-10,200,200,196,0.98,0.4933984693877551,53,0.265
2017-10-11,200,200,199,0.995,0.4919145728643216,59,0.295
2017-10-12,200,200,193,0.965,0.5050927461139897,57,0.285
2017-11-01,200,200,200,1.0,0.46826949999999995,67,0.335
2017-11-02,200,200,200,1.0,0.47820500000000005,62,0.31
2017-11-03,200,200,200,1.0,0.4799135,63,0.315
2017-11-04,200,200,200,1.0,0.4920675,52,0.26
2017-11-05,200,200,198,0.99,0.5014939393939394,49,0.245
2017-11-06,200,200,200,1.0,0.5136769999999999,43,0.215
2017-11-07,200,200,200,1.0,0.5289524999999999,37,0.185
2017-11-08,200,200,200,1.0,0.526257,44,0.22
2017-11-09,200,200,200,1.0,0.5114305,46,0.23
2017-11-10,200,200,197,0.985,0.48905126903553303,55,0.275
2017-11-11,200,200,198,0.99,0.49577727272727273,60,0.3
2017-11-12,200,200,194,0.97,0.49355670103092786,60,0.3
2017-12-01,200,200,200,1.0,0.4663945,64,0.32
2017-12-02,200,200,200,1.0,0.4590485,67,0.335
2017-12-03,200,200,200,1.0,0.47365850000000004,66,0.33
2017-12-04,200,200,200,1.0,0.49461350000000004,55,0.275
2017-12-05,200,200,197,0.985,0.5038710659898478,46,0.23
2017-12-06,200,200,200,1.0,0.5169115,41,0.205
2017-12-07,200,200,200,1.0,0.5246875,40,0.2
2017-12-08,200,200,200,1.0,0.522427,47,0.235
2017-12-09,200,200,198,0.99,0.5203237373737374,41,0.205
2017-12-10,200,200,198,0.99,0.4923590909090909,54,0.27
2017-12-11,200,200,199,0.995,0.48479949748743717,61,0.305
2017-12-12,200,200,194,0.97,0.4977778350515464,58,0.29
2018-01-01,200,200,196,0.98,0.5390280612244898,48,0.24
2018-01-02,200,200,199,0.995,0.48005778894472356,58,0.29
2018-01-03,200,200,195,0.975,0.49641794871794875,53,0.265
